n,nnz,npuf,nsyn,wt.pufmin,wt.pufmdn,wt.pufmax,MARS,XTOT,EIC,f6251,f2441,DSI,MIDR,n24,FDED,e00200,e01700,e01500,e02400,e02000,e26270,e19200,p23250,e00900,e18400,e01400,e00600,e00650,e18500,e19800,e17500,e20400,e00300,e02300,e00400,e20100,e09600,e87521,e00700,e03270,e03300,e32800,e87530,e07300,e62900,e24515,e03150,e03210,e03240,e00800,e03500,e09900,e27200,e03230,e24518,e03290,e07400,e58990,e01100,e11200,e07260,e07240,e03220,e07600,e03400,p08000,e09700,e09800,e02100,p22250,e01200,rownum
4,5,3,1,1395.51,1428.12,1428.12,1,2,0,0,0,0,0,1,2,11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
4,5,3,1,1428.12,1451.65,1451.65,1,2,0,0,0,0,0,1,2,17900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
4,5,2,2,1428.12,1439.885,1451.65,1,2,0,0,0,0,0,1,2,27900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
4,5,1,3,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,40900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
3,5,1,2,1428.12,1428.12,1428.12,1,1,0,0,0,0,0,0,2,21500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,23
3,5,1,2,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
3,5,2,1,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,23500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
3,5,1,2,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,31700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
3,5,1,2,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,39900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
3,5,1,2,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,40400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
3,5,2,1,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,41900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2,5,1,1,1448.09,1448.09,1448.09,1,1,0,0,0,0,0,0,2,0,0,0,9880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2,5,1,1,1426.25,1426.25,1426.25,1,1,0,0,0,0,0,0,2,780,0,0,0,0,0,0,0,13800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2,5,1,1,1437.01,1437.01,1437.01,1,1,0,0,0,0,0,0,2,7370,0,0,0,0,0,0,0,7830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2,5,1,1,1451.65,1451.65,1451.65,1,1,0,0,0,0,0,0,2,12100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
2,5,1,1,1437.01,1437.01,1437.01,1,1,0,0,0,0,0,0,2,13700,0,0,0,0,0,0,0,8040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
2,5,1,1,1451.65,1451.65,1451.65,1,1,0,0,0,0,0,0,2,15300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2,5,1,1,1428.12,1428.12,1428.12,1,1,0,0,0,0,0,0,2,15800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,36
2,5,1,1,1451.65,1451.65,1451.65,1,1,0,0,0,0,0,0,2,16600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2,5,1,1,1428.12,1428.12,1428.12,1,1,0,0,0,0,0,0,2,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,38
2,5,1,1,1428.12,1428.12,1428.12,1,1,0,0,0,0,0,0,2,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,39
2,5,1,1,1428.12,1428.12,1428.12,1,1,0,0,0,0,0,0,2,24700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,40
